sample_n,real,imag
        956,      -8192,          0
        957,      -7168,          0
        958,      -7168,          0
        959,      -6144,          0
        960,      -6144,          0
        961,      -5120,          0
        962,      -5120,          0
        963,      -5120,          0
        964,      -4096,          0
        965,      -4096,          0
        966,      -3072,          0
        967,      -3072,          0
        968,      -2048,          0
        969,      -2048,          0
        970,      -1024,          0
        971,      -1024,          0
        972,          0,          0
        973,          0,          0
        974,          0,          0
        975,          0,          0
        976,       1024,          0
        977,       1024,          0
        978,       2048,          0
        979,       2048,          0
        980,       3072,          0
        981,       3072,          0
        982,       4096,          0
        983,       4096,          0
        984,       5120,          0
        985,       5120,          0
        986,       6144,          0
        987,       6144,          0
        988,       6144,          0
        989,       7168,          0
        990,       7168,          0
        991,       8192,          0
        992,       8192,          0
        993,       8192,          0
        994,       9216,          0
        995,       9216,          0
        996,      10240,          0
        997,      10240,          0
        998,      10240,          0
        999,      11264,          0
       1000,      11264,          0
       1001,      11264,          0
       1002,      11264,          0
       1003,      12288,          0
       1004,      12288,          0
       1005,      12288,          0
       1006,      13312,          0
       1007,      13312,          0
       1008,      13312,          0
       1009,      13312,          0
       1010,      14336,          0
       1011,      14336,          0
       1012,      14336,          0
       1013,      14336,          0
       1014,      14336,          0
       1015,      14336,          0
       1016,      15360,          0
       1017,      14336,          0
       1018,      15360,          0
       1019,      15360,          0
       1020,      15360,          0
       1021,      15360,          0
       1022,      15360,          0
       1023,      15360,          0
       1024,      14336,          0
       1025,      14336,      -1024
       1026,      14336,      -1024
       1027,      14336,      -1024
       1028,      14336,      -1024
       1029,      14336,      -1024
       1030,      14336,      -1024
       1031,      14336,      -1024
       1032,      14336,      -1024
       1033,      14336,      -1024
       1034,      13312,      -1024
       1035,      13312,      -1024
       1036,      13312,      -1024
       1037,      13312,      -1024
       1038,      13312,      -1024
       1039,      12288,      -1024
       1040,      12288,      -1024
       1041,      12288,      -1024
       1042,      12288,      -1024
       1043,      12288,      -1024
       1044,      11264,      -1024
       1045,      11264,      -1024
       1046,      11264,      -1024
       1047,      10240,      -1024
       1048,      10240,      -1024
       1049,      10240,      -1024
       1050,       9216,      -1024
       1051,       9216,      -1024
       1052,       9216,      -1024
       1053,       8192,      -1024
       1054,       8192,      -1024
       1055,       8192,      -1024
       1056,       7168,      -1024
       1057,       7168,          0
       1058,       6144,          0
       1059,       6144,      -1024
       1060,       5120,      -1024
       1061,       5120,      -1024
       1062,       5120,      -1024
       1063,       4096,      -1024
       1064,       4096,      -1024
       1065,       3072,      -1024
       1066,       3072,      -1024
       1067,       2048,      -1024
       1068,       2048,      -1024
       1069,       1024,      -1024
       1070,       1024,      -1024
       1071,          0,      -1024
       1072,          0,      -1024
       1073,          0,      -1024
       1074,          0,      -1024
       1075,          0,      -1024
       1076,      -1024,      -1024
       1077,      -1024,      -1024
       1078,      -2048,      -1024
       1079,      -2048,      -1024
       1080,      -3072,      -1024
       1081,      -3072,      -1024
       1082,      -4096,      -1024
       1083,      -4096,      -1024
       1084,      -5120,      -1024
       1085,      -5120,      -1024
       1086,      -6144,          0
       1087,      -6144,      -1024
       1088,      -6144,      -1024
       1089,      -7168,      -1024
       1090,      -7168,          0
       1091,      -8192,          0
       1092,      -8192,      -1024
       1093,      -9216,          0
       1094,      -9216,          0
       1095,      -9216,      -1024
       1096,     -10240,          0
       1097,     -10240,      -1024
       1098,     -11264,      -1024
       1099,     -11264,      -1024
       1100,     -11264,          0
       1101,     -12288,      -1024
       1102,     -12288,      -1024
       1103,     -12288,          0
       1104,     -13312,      -1024
       1105,     -13312,          0
       1106,     -13312,      -1024
       1107,     -13312,      -1024
       1108,     -14336,      -1024
       1109,     -14336,      -1024
       1110,     -14336,      -1024
       1111,     -14336,          0
       1112,     -15360,      -1024
       1113,     -15360,      -1024
       1114,     -15360,      -1024
       1115,     -15360,      -1024
       1116,     -15360,      -1024
       1117,     -16384,      -1024
       1118,     -16384,          0
       1119,     -16384,          0
       1120,     -16384,      -1024
       1121,     -16384,          0
       1122,     -16384,          0
       1123,     -16384,      -1024
       1124,     -16384,          0
       1125,     -16384,      -1024
       1126,     -16384,      -1024
       1127,     -16384,          0
       1128,     -16384,      -1024
       1129,     -16384,          0
       1130,     -16384,          0
       1131,     -16384,          0
       1132,     -16384,          0
