index,freq_hz,real,imag
       1825,42773.44,          0,          0
       1826,42796.88,          0,          0
       1827,42820.31,          0,          0
       1828,42843.75,         -1,         -1
       1829,42867.19,          0,         -1
       1830,42890.62,          0,          0
       1831,42914.06,          0,         -1
       1832,42937.50,          0,          0
       1833,42960.94,          0,          0
       1834,42984.38,          0,         -1
       1835,43007.81,          0,          0
       1836,43031.25,          0,          0
       1837,43054.69,          0,         -1
       1838,43078.12,          0,          0
       1839,43101.56,          0,         -1
       1840,43125.00,          0,          0
       1841,43148.44,          0,          0
       1842,43171.88,          0,          0
       1843,43195.31,          0,          0
       1844,43218.75,         -1,         -1
       1845,43242.19,         -1,          0
       1846,43265.62,          0,          0
       1847,43289.06,          0,         -1
       1848,43312.50,          0,          0
       1849,43335.94,         -1,          0
       1850,43359.38,          0,          0
       1851,43382.81,          0,          0
       1852,43406.25,          0,         -1
       1853,43429.69,          0,          0
       1854,43453.12,          0,          0
       1855,43476.56,          0,          0
       1856,43500.00,          0,          0
       1857,43523.44,          0,          0
       1858,43546.88,          0,          0
       1859,43570.31,         -1,          0
       1860,43593.75,          0,          0
       1861,43617.19,          0,          0
       1862,43640.62,          0,          0
       1863,43664.06,          0,          0
       1864,43687.50,          0,          0
       1865,43710.94,          0,          0
       1866,43734.38,          0,          0
       1867,43757.81,          0,          0
       1868,43781.25,          0,          0
       1869,43804.69,          0,          0
       1870,43828.12,          0,          0
       1871,43851.56,          0,         -1
       1872,43875.00,          0,          0
       1873,43898.44,         -1,          0
       1874,43921.88,          0,          0
       1875,43945.31,          0,          0
       1876,43968.75,          0,          0
       1877,43992.19,          0,          0
       1878,44015.62,          0,          0
       1879,44039.06,         -1,         -1
       1880,44062.50,          0,         -1
       1881,44085.94,          0,          0
       1882,44109.38,         -1,          0
       1883,44132.81,          0,          0
       1884,44156.25,          0,          0
       1885,44179.69,         -1,          0
       1886,44203.12,         -1,          0
       1887,44226.56,          0,          0
       1888,44250.00,          0,          0
       1889,44273.44,          0,          0
       1890,44296.88,          0,         -1
       1891,44320.31,          0,          0
       1892,44343.75,          0,          0
       1893,44367.19,          0,          0
       1894,44390.62,          0,          0
       1895,44414.06,          0,          0
       1896,44437.50,          0,         -1
       1897,44460.94,          0,          0
       1898,44484.38,          0,          0
       1899,44507.81,          0,          0
       1900,44531.25,          0,          0
       1901,44554.69,          0,         -1
       1902,44578.12,         -1,         -1
       1903,44601.56,          0,         -1
       1904,44625.00,          0,          0
       1905,44648.44,          0,         -1
       1906,44671.88,         -1,          0
       1907,44695.31,          0,          0
       1908,44718.75,          0,         -1
       1909,44742.19,          0,          0
       1910,44765.62,          0,          0
       1911,44789.06,          0,          0
       1912,44812.50,          0,          0
       1913,44835.94,          0,         -1
       1914,44859.38,          0,         -1
       1915,44882.81,          0,         -1
       1916,44906.25,          0,         -1
       1917,44929.69,         -1,          0
       1918,44953.12,          0,          0
       1919,44976.56,          0,          0
       1920,45000.00,          0,          0
       1921,45023.44,          0,          0
       1922,45046.88,          0,          0
       1923,45070.31,          0,          0
       1924,45093.75,          0,          0
       1925,45117.19,          0,          0
       1926,45140.62,          0,          0
       1927,45164.06,          0,          0
       1928,45187.50,          0,          0
       1929,45210.94,          0,         -1
       1930,45234.38,         -1,          0
       1931,45257.81,          0,          0
       1932,45281.25,          0,          0
       1933,45304.69,          0,          0
       1934,45328.12,          0,         -1
       1935,45351.56,          0,          0
       1936,45375.00,          0,          0
       1937,45398.44,          0,          0
       1938,45421.88,          0,          0
       1939,45445.31,          0,          0
       1940,45468.75,          0,          0
       1941,45492.19,          0,         -1
       1942,45515.62,          0,         -1
       1943,45539.06,         -1,         -1
       1944,45562.50,         -1,          0
       1945,45585.94,          0,          0
       1946,45609.38,          0,          0
       1947,45632.81,          0,          0
       1948,45656.25,          0,          0
       1949,45679.69,          0,          0
       1950,45703.12,          0,          0
       1951,45726.56,          0,          0
       1952,45750.00,          0,          0
       1953,45773.44,          0,          0
       1954,45796.88,          0,          0
       1955,45820.31,          0,          0
       1956,45843.75,          0,         -1
       1957,45867.19,          0,         -1
       1958,45890.62,          0,          0
       1959,45914.06,          0,         -1
       1960,45937.50,          0,          0
       1961,45960.94,          0,         -1
       1962,45984.38,          0,          0
       1963,46007.81,          0,          0
       1964,46031.25,          0,         -1
       1965,46054.69,          0,         -1
       1966,46078.12,          0,         -1
       1967,46101.56,          0,         -1
       1968,46125.00,          0,         -1
       1969,46148.44,          0,          0
       1970,46171.88,          0,         -1
       1971,46195.31,          0,          0
       1972,46218.75,          0,          0
       1973,46242.19,          0,          0
       1974,46265.62,          0,          0
       1975,46289.06,          0,         -1
       1976,46312.50,          0,         -1
       1977,46335.94,          0,         -1
       1978,46359.38,          0,         -1
       1979,46382.81,          0,         -1
       1980,46406.25,          0,         -1
       1981,46429.69,          0,          0
       1982,46453.12,          0,          0
       1983,46476.56,          0,         -1
       1984,46500.00,          0,          0
       1985,46523.44,          0,          0
       1986,46546.88,          0,          0
       1987,46570.31,         -1,          0
       1988,46593.75,          0,          0
       1989,46617.19,          0,          0
       1990,46640.62,          0,          0
       1991,46664.06,          0,          0
       1992,46687.50,          0,          0
       1993,46710.94,          0,          0
       1994,46734.38,          0,          0
       1995,46757.81,          0,          0
       1996,46781.25,          0,          0
       1997,46804.69,          0,          0
       1998,46828.12,          0,          0
       1999,46851.56,          0,         -1
       2000,46875.00,          0,         -1
       2001,46898.44,          0,          0
       2002,46921.88,          0,          0
       2003,46945.31,          0,          0
       2004,46968.75,          0,          0
       2005,46992.19,          0,          0
       2006,47015.62,          0,          0
       2007,47039.06,         -1,         -1
       2008,47062.50,          0,         -1
       2009,47085.94,          0,          0
       2010,47109.38,          0,          0
       2011,47132.81,          0,          0
       2012,47156.25,          0,          0
       2013,47179.69,          0,          0
       2014,47203.12,         -1,          0
       2015,47226.56,          0,          0
       2016,47250.00,          0,          0
       2017,47273.44,          0,          0
       2018,47296.88,         -1,          0
       2019,47320.31,         -1,          0
       2020,47343.75,         -1,          0
       2021,47367.19,         -1,          0
       2022,47390.62,         -2,          3
       2023,47414.06,         -6,         10
       2024,47437.50,        -19,         34
       2025,47460.94,       -115,        199
       2026,47484.38,        928,      -1612
       2027,47507.81,      -1161,       2009
       2028,47531.25,        333,       -575
       2029,47554.69,         34,        -56
       2030,47578.12,         11,        -16
       2031,47601.56,          8,         -4
       2032,47625.00,         13,          2
       2033,47648.44,         44,         27
       2034,47671.88,        717,        515
       2035,47695.31,      -1968,      -1431
       2036,47718.75,       1311,        953
       2037,47742.19,        -94,        -68
       2038,47765.62,        -21,        -13
       2039,47789.06,        -10,         -2
       2040,47812.50,        -10,          2
       2041,47835.94,        -23,         19
       2042,47859.38,       -114,        122
       2043,47882.81,       1163,      -1300
       2044,47906.25,      -1597,       1768
       2045,47929.69,        516,       -576
       2046,47953.12,         40,        -50
       2047,47976.56,          9,        -18
